Feature,Importance
AVG_PND_MAS_PCT_VENC29_12M,0.002431032660395307
MIN_R_BAL_BY_CRED_LIM_03M,0.002431032660395307
MAX_SALINI_BK_CS_CL_ACC,0.002431032660395307
MAX_MS_CL_BRG_CL_ACC,0.002431032660395307
MAX_MS_CL_BK_R_CL_ACC,0.002431032660395307
SUM_VIGENTEH_03M,0.002431032660395307
AVG_PND_MENOS_AVG_HI_CALCAR_L_06M,0.002431032660395307
SUM_VIGENTEH_06M,0.0023253355882042067
MAX_VIGENTEC_BRG_CS_OP_ACC,0.0023253355882042067
AVG_D_CRED_LIM_TO_BAL_12M,0.0023253355882042067
AVG_MIN_VP_PER_U12M_2,0.0023253355882042067
MAX_SALINI_BK_CS_OP_ACC_03M,0.0023253355882042067
AVG_PND_MENOS_VIGENTEH_12M,0.0023253355882042067
MIN_MS_CL_BRG_R_CL_ACC,0.0023253355882042067
AVG_PND_MAS_D_CRED_LIM_TO_BAL_03M,0.0023253355882042067
AVG_PND_MENOS_MAX_HI_CALCAR_CEIL_03M,0.0022196385160131063
AVG_PND_MAS_AVG_HI_CALCAR_CEIL_06M,0.0022196385160131063
AVG_PND_MENOS_PCT_VENC29_12M,0.0022196385160131063
AVG_MS_OP_BRG_CS_OP_ACC,0.0022196385160131063
MAX_PCT_VENC29_12M,0.0022196385160131063
AVG_R_BAL_BY_MAX_BAL_06M,0.0022196385160131063
MAX_VENC29_06M,0.0022196385160131063
AVG_PND_MENOS_PCT_VIGENTEH_12M,0.0021139414438220063
AVG_D_CRED_LIM_TO_BAL_06M,0.0021139414438220063
AVG_VIGENTEC_BK_R_OP_ACC_06M,0.0021139414438220063
AVG_PND_MENOS_AVG_HI_CALCAR_FLOOR_06M,0.0021139414438220063
CUR_BAL,0.0021139414438220063
AVG_PND_MENOS_VIGENTEH_06M,0.0021139414438220063
MIN_PCT_VIGENTEH_12M,0.002008244371630906
MAX_BAL_12M,0.002008244371630906
AVG_VIGENTEC_BRG_R_OP_ACC,0.002008244371630906
MAX_MS_CL_BK_CL_ACC,0.002008244371630906
MAX_PCT_VENC1M_06M,0.002008244371630906
AVG_PND_MAS_R_BAL_BY_CRED_LIM_12M,0.002008244371630906
MAX_VENC1M_OP_ACC_03M,0.002008244371630906
MAX_BAL_06M,0.002008244371630906
MAX_VIGENTEC_BRG_OP_ACC,0.002008244371630906
NBK12_COMM_PCT_PLUS,0.002008244371630906
AVG_PND_MENOS_MAX_HI_CALCAR_L_06M,0.002008244371630906
MIN_VIGENTEH_03M,0.002008244371630906
MAX_BAL_03M,0.0019025472994398055
AVG_PND_MENOS_AVG_HI_CALCAR_FLOOR_12M,0.0019025472994398055
MAX_SALINI_BK_OP_ACC,0.0019025472994398055
AVG_SALINI_BRG_OP_ACC_03M,0.0019025472994398055
AVG_PND_MAS_D_CRED_LIM_TO_BAL_12M,0.0019025472994398055
MIN_SALINI_BRG_R_OP_ACC_12M,0.0019025472994398055
AVG_VENCIDO1MAS_12M,0.0019025472994398055
PCT_BK_CS_CL_ACC,0.001796850227248705
AVG_PND_MENOS_MAX_HI_CALCAR_CEIL_12M,0.001796850227248705
AVG_PND_MAS_MAX_HI_CALCAR_L_12M,0.001796850227248705
MAX_VIGENTEH_12M,0.001796850227248705
AVG_SALINI_BK_R_OP_ACC,0.001796850227248705
AVG_PND_MAS_AVG_HI_CALCAR_FLOOR_03M,0.001796850227248705
AVG_SALINI_BRG_CL_ACC,0.001796850227248705
AVG_VIGENTEC_OP_ACC,0.001796850227248705
MAX_VIGENTEC_BK_R_OP_ACC_06M,0.001796850227248705
AVG_R_BAL_BY_CRED_LIM_03M,0.001691153155057605
AVG_PND_MAS_AVG_HI_CALCAR_L_12M,0.001691153155057605
AVG_R_BAL_BY_CRED_LIM_06M,0.001691153155057605
MAX_VENCIDO1MAS_12M,0.001691153155057605
MIN_BAL_03M,0.001691153155057605
NUM_MAX_HI_CALCAR_FLOOR_12M,0.001691153155057605
MIN_MS_CL_BK_CL_ACC,0.001691153155057605
AVG_VENC29_12M,0.001691153155057605
AVG_PND_MENOS_D_CRED_LIM_TO_BAL_06M,0.001691153155057605
MIN_SALINI_BRG_CS_OP_ACC_12M,0.001691153155057605
MAX_PCT_VENC29_06M,0.0015854560828665045
AVG_SALINI_OP_ACC,0.0015854560828665045
AVG_MS_CL_BK_R_CL_ACC,0.0015854560828665045
AVG_PND_MAS_MAX_HI_CALCAR_FLOOR_12M,0.0015854560828665045
MAX_SALINI_BRG_OP_ACC,0.0015854560828665045
AVG_SALINI_BRG_CS_OP_ACC_03M,0.0015854560828665045
AVG_PND_MAS_PCT_VENC1M_12M,0.0015854560828665045
AVG_AVG_HI_CALCAR_CEIL_12M,0.0015854560828665045
MIN_MS_CL_BK_CS_CL_ACC,0.0015854560828665045
AVG_PND_MAS_MAX_HI_CALCAR_CEIL_12M,0.0015854560828665045
AVG_PND_MENOS_R_BAL_BY_CRED_LIM_03M,0.0014797590106754043
MIN_VP_MES,0.0014797590106754043
AVG_PCT_VIGENTEC_OP_ACC_06M,0.0014797590106754043
AVG_MAX_HI_CALCAR_FLOOR_12M,0.0014797590106754043
MIN_SALINI_BK_CL_ACC,0.0014797590106754043
AVG_PND_MAS_PCT_VENC29_06M,0.0014797590106754043
AVG_PND_MAS_MAX_HI_CALCAR_L_06M,0.0014797590106754043
AVG_MS_OP_BRG_OP_ACC,0.0014797590106754043
AVG_PND_MENOS_MAX_HI_CALCAR_FLOOR_06M,0.001374061938484304
AVG_PND_MAS_R_BAL_BY_CRED_LIM_03M,0.001374061938484304
MAX_VENC29_12M,0.001374061938484304
MAX_VIGENTEH_03M,0.001374061938484304
AVG_MAX_HI_CALCAR_CEIL_12M,0.001374061938484304
AVG_PND_MAS_AVG_HI_CALCAR_FLOOR_12M,0.001374061938484304
AVG_BAL_12M,0.001374061938484304
AVG_PND_MAS_MAX_HI_CALCAR_FLOOR_03M,0.001374061938484304
AVG_PND_MAS_AVG_HI_CALCAR_CEIL_12M,0.0012683648662932037
AVG_PCT_VENC1M_OP_ACC,0.0012683648662932037
AVG_PND_MENOS_PCT_VENC1M_12M,0.0012683648662932037
AVG_PND_MENOS_D_CRED_LIM_TO_BAL_03M,0.0012683648662932037
AVG_SALINI_BRG_R_OP_ACC,0.0012683648662932037
AVG_PND_MENOS_CRED_LIM_12M,0.0012683648662932037
AVG_VENC1M_OP_ACC,0.0012683648662932037
AVG_PND_MAS_D_CRED_LIM_TO_BAL_06M,0.0012683648662932037
MAX_MIN_VP_PER_U12M_2,0.0011626677941021033
AVG_AVG2_VP_PER_U06M,0.0011626677941021033
AVG_VIGENTEC_BRG_R_OP_ACC_03M,0.0011626677941021033
MIN_BAL_06M,0.0011626677941021033
MAX_SALINI_BK_CL_ACC,0.0011626677941021033
MAX_MIN_VP_MES_U12M,0.0011626677941021033
AVG_MIN_VP_MES_U06M,0.0011626677941021033
MAX_VIGENTEC_BRG_R_OP_ACC_06M,0.0011626677941021033
DPCV_INT,0.0010569707219110032
MAX_CRED_LIM_12M,0.0010569707219110032
